GENE	Gene Length	DtL_0min_set2d_RNA_Rep1	DtL_0min_set2d_RNA_Rep2	DtL_0min_set2d_RNA_Rep3	DtL_20min_set2d_RNA_Rep1	DtL_20min_set2d_RNA_Rep2	DtL_20min_set2d_RNA_Rep3	DtL_40min_set2d_RNA_Rep1	DtL_40min_set2d_RNA_Rep2	DtL_40min_set2d_RNA_Rep3	DtL_60min_set2d_RNA_Rep1	DtL_60min_set2d_RNA_Rep2
YDR258C	2436	58.7381	65.2709	82.9079	90.5523	102.857	98.6424	94.5822	107.973	110.055	80.539	104.513
YDR259C	1152	7.25156	8.37875	6.25567	7.91364	8.80554	8.36082	7.88451	10.3533	10.9151	9.2945	11.5249
YDR260C	513	19.1815	20.1984	23.5019	20.6346	20.7406	21.545	21.6648	22.864	25.826	20.1687	23.3452
YDR261C	1689	38.2582	37.4237	35.1608	42.1742	37.5946	35.9389	36.8346	41.3512	37.9613	35.7539	39.5118
YDR261C-C	1323	0	0	0	0	0	0	0	0	0	0	0
YDR261C-D	4815	4.78675	5.12956	5.25793	5.57521	5.42765	5.04984	6.00326	5.94124	5.18176	4.53111	5.67004
YDR261W-A	1317	4.52349	4.05026	3.4033	4.90675	4.07922	3.98832	4.66648	4.06018	3.80798	5.74604	4.19326
YDR261W-B	5313	3.48844	3.05028	2.7796	3.81622	2.96172	2.93643	3.80074	3.07923	3.0329	4.04541	3.41531
YDR262W	819	63.9754	67.4723	64.0108	68.7166	64.4449	62.2887	72.2796	69.1065	68.7473	75.2451	72.2455
YDR263C	1293	7.58237	9.05515	8.31577	10.674	10.5807	10.481	10.2977	8.97159	10.0138	9.35747	10.3565
YDR264C	2295	84.976	97.8688	88.4065	106.056	97.0881	91.3783	94.6975	101.917	92.4534	81.3366	103.022
YDR265W	1014	17.0813	16.9223	16.463	16.3809	15.9333	16.704	17.3417	17.005	17.5749	15.8964	19.0119
YDR266C	1920	29.6777	30.5652	29.358	32.4394	31.7991	29.5816	31.7426	30.6835	30.5946	30.1767	32.5565
YDR267C	993	7.86249	11.0785	17.2389	11.6929	13.6632	12.7188	10.9411	14.6174	15.7236	9.97686	16.2523
YDR268W	1140	15.6457	14.6882	16.9931	16.2264	15.3901	17.0327	16.4342	18.6104	19.0096	16.687	18.4775
YDR269C	324	0.774861	0.209401	0.308197	1.37871	0.633847	0	0.315935	0.46181	0	0.30035	1.13559
YDR270W	3015	9.66941	12.147	13.6094	14.288	14.537	15.2152	12.7242	14.9245	14.3314	11.5337	15.6358
YDR271C	372	0	1.02307	0.941102	0.841995	0.774198	0.414734	0.192946	0.564067	0.194496	0.550284	0.346759
YDR272W	825	39.1576	45.578	58.762	48.1507	51.829	51.0123	54.7575	56.5823	66.4945	56.5608	62.6072
YDR273W	1098	3.35935	3.85369	5.23559	3.43998	4.34632	4.08579	4.69616	5.23008	5.55105	5.66034	5.14932
YDR274C	372	0	0	0.564661	0.168399	0.19355	0.622101	0.192946	0.282034	0	0	0
YDR275W	708	28.0884	32.419	39.8461	33.8449	32.3645	35.0084	35.1591	31.138	34.3992	32.0484	34.0096
YDR276C	168	3623.71	3635.77	3749.68	3490.85	4581.1	4501.81	4062.71	4067.31	4573.43	5580.63	4267.62
YDR277C	1302	7.51757	5.33288	7.25534	8.24196	7.5738	8.09027	8.72215	8.89491	10.4962	7.58483	8.42497
YDR278C	318	2.94247	2.27195	2.6751	0.89752	2.06313	3.31562	3.08504	2.00421	2.7643	5.21397	2.15615
YDR279W	1053	25.5194	22.7729	22.46	26.0459	22.9775	21.6041	25.592	24.3565	26.244	25.7888	25.0126
YDR280W	918	25.4052	25.699	35.2285	25.6669	27.5075	25.9255	26.1801	27.9232	30.181	26.5749	30.4425
YDR281C	315	0.877602	1.18583	1.39625	1.24921	1.07684	1.53828	1.07348	0.784564	2.88561	3.06157	3.21539
YDR282C	1245	9.02892	9.98112	12.4356	10.9596	11.2818	11.2166	12.1759	11.5808	14.1233	11.5073	13.0823
YDR283C	4980	18.6761	18.3963	19.4908	21.7814	20.2389	20.1095	20.8831	19.7208	22.6437	20.7018	21.5962
YDR284C	870	44.8494	43.8964	43.0216	51.1657	41.1728	42.4281	45.6303	45.3877	48.7322	36.9851	42.205
YDR285W	2628	5.57837	4.80025	4.59324	5.372	4.81336	4.93183	6.27476	4.69535	5.64138	6.53425	5.59363
YDR286C	345	37.2855	40.6323	38.5825	38.1871	48.8497	54.7281	59.3267	39.2043	50.5838	57.5752	45.5361
YDR287W	879	18.5242	21.3974	21.7547	22.9488	19.8388	19.2713	24.6365	23.4296	24.1129	21.4157	23.7968
YDR288W	912	21.4212	22.3965	21.7194	25.2431	23.9861	23.698	24.5199	24.9581	23.6344	23.6506	25.7967
YDR289C	1230	13.0236	12.2663	15.5757	15.0967	14.5363	13.6761	14.999	14.2155	16.4121	16.26	15.9345
YDR290W	330	0.359047	0	0	0	0.881117	0	0	0	0	0	0
YDR291W	3234	14.3028	14.2068	14.9144	14.8912	14.6588	14.227	15.424	14.7884	15.3316	14.5725	15.1816
YDR292C	1866	39.8118	40.0783	46.1877	44.0009	40.7819	39.4975	40.097	40.4719	41.6619	39.3748	41.992
YDR293C	3753	70.9384	71.3854	68.8257	84.3065	80.49	74.1818	84.5194	80.315	81.1568	73.4735	78.9429
YDR294C	1770	47.6247	45.6587	50.1988	56.1065	49.6949	48.346	52.9102	54.4756	51.6682	45.3458	53.125
YDR295C	2025	17.4028	15.5703	15.8121	17.9024	16.1392	17.6504	19.8571	19.23	20.1514	19.8685	18.8761
YDR296W	681	33.7513	34.9914	38.2101	39.2686	37.0325	34.2444	35.8183	41.6764	39.4841	32.798	37.3694
YDR297W	1050	46.6519	47.0714	48.4121	46.6756	41.8473	37.7975	40.0872	42.4207	36.3475	35.8282	42.7845
YDR298C	639	110.964	111.076	111.185	128.421	114.211	113.012	125.051	122.261	126.915	116.916	127.571
YDR299W	1605	22.6213	24.511	25.5072	20.1785	21.0151	20.5215	22.2622	23.1651	22.0883	25.6564	26.2168
YDR300C	1287	49.6825	50.0988	47.8189	53.0997	44.6775	44.7463	47.8534	47.3564	45.6566	45.232	50.8078
YDR301W	4074	20.6954	21.487	22.3885	22.955	21.7091	20.685	22.7458	22.696	23.4602	20.4028	23.4722
YDR302W	660	25.4208	24.1113	22.6442	25.904	23.7487	24.5132	23.1549	25.6589	27.008	25.4162	26.6701
YDR303C	2658	28.6801	28.9064	24.9482	31.0739	25.6744	26.0779	30.727	27.4252	28.7593	28.0405	27.0533
YDR304C	678	196.597	189.6	194.329	229.244	192.007	192.634	210.659	211.861	214.192	192.747	218.825
YDR305C	654	23.4261	25.4006	27.2097	26.6457	27.2159	24.7504	27.1311	29.8507	28.6486	27.6311	30.3299
YDR306C	1437	16.0948	16.1005	17.7726	19.9459	17.8149	18.3996	21.2752	19.4329	20.8219	21.0803	19.6922
YDR307W	1989	15.371	15.0156	14.1568	18.737	15.6248	15.4796	18.604	17.1656	19.6884	16.4415	17.465
YDR308C	423	55.1952	51.6189	46.3022	49.9971	49.255	49.9862	52.1021	48.7457	51.1459	51.2175	55.6429
YDR309C	1152	69.8084	67.6919	53.968	67.7591	60.7424	59.0906	67.6228	65.5195	58.8142	66.2108	65.9609
YDR310C	3189	24.391	26.1841	27.3325	26.9904	26.9889	25.5408	25.3791	26.4129	27.5929	23.6821	27.97
YDR311W	1929	17.9468	19.0817	19.0308	18.6418	17.6282	18.1124	17.7993	19.0486	17.686	18.3179	18.8504
YDR312W	1362	21.2062	21.4394	21.2999	19.3546	19.6356	18.3103	19.4038	20.7736	20.398	23.8793	23.9315
YDR313C	861	18.6886	19.8164	21.2219	20.6116	21.9783	19.4213	20.824	23.6653	24.1185	19.8705	22.0226
YDR314C	2079	10.4166	10.4435	12.2208	11.9185	11.7732	12.0701	13.2408	13.0135	13.1119	12.8342	13.7044
YDR315C	846	7.45854	9.24814	9.34576	9.6106	9.37111	10.7664	9.26238	10.256	10.3787	11.2619	9.50191
YDR316W	1416	5.13728	5.70153	8.66927	6.51389	7.77234	8.43648	7.3007	8.91778	9.40933	8.4872	8.97251
YDR316W-A	1323	0.0270977	0.102522	0.021556	0.0578578	0.0886652	0.0474975	0.0883887	0.0968999	0.0668242	0.0210071	0.0794254
YDR316W-B	5268	0	0	0	0	0	0	0	0	0	0	0
YDR317W	1245	3.91545	3.01645	2.48712	3.59776	3.70484	3.14986	4.24133	3.81383	3.77101	4.75697	4.3465
YDR318W	1107	7.53013	7.53488	7.82497	8.35283	7.68581	7.84804	7.63419	8.26823	8.50412	9.36124	8.74901
YDR319C	825	15.8651	18.5152	21.1415	20.1377	18.1443	20.1038	19.6534	19.0013	22.9263	19.2714	21.5108
YDR320C	2007	16.3394	17.1345	19.2399	19.5231	20.5701	19.1369	20.3845	19.4466	20.9429	19.5329	20.6221
YDR320C-A	219	530.975	718.71	565.63	437.055	689.287	728.379	596.774	627.409	696.455	748.095	639.448
YDR320W-B	138	35.9763	55.5563	12.2652	29.2628	37.8374	54.0515	37.7194	73.5138	67.5956	27.8901	67.7887
YDR321W	1146	102.233	99.043	99.0568	111.74	96.633	90.3094	96.5169	90.9408	93.1853	88.3099	95.2881
YDR322C-A	291	140.159	164.545	256.698	162.39	247.435	243.389	233.905	252.932	307.056	235.506	263.687
YDR322W	1104	24.8481	22.9599	23.5573	29.0468	23.1662	23.8057	28.2013	26.4132	28.0082	26.2296	22.8222
YDR323C	1548	8.24471	7.97991	8.03784	8.49891	8.92518	8.44314	9.1714	7.94482	9.42926	9.22266	9.9323
YDR324C	2331	30.5567	32.0639	29.2892	26.9111	25.6704	26.2779	26.2401	28.2337	26.7382	28.1641	31.8349
YDR325W	3108	16.7858	17.5509	17.3289	18.4962	17.4032	18.3334	19.0506	18.5766	18.6431	18.2608	19.998
YDR326C	4317	36.2928	36.4939	33.8559	37.195	34.2995	34.0772	37.5879	37.0438	35.2436	37.3532	38.0644
YDR327W	327	0	0.805809	0.889495	0.530549	0	0	0.607885	0.22214	0.306385	0.866847	0.27312
YDR328C	585	132.176	125.557	136.909	141.909	131.078	128.593	138.368	145.368	134.069	118.919	131.001
YDR329C	1326	25.4549	25.5152	27.3858	27.9252	28.0286	27.1876	29.3514	29.7942	28.5655	25.8925	29.4837
YDR330W	1503	23.2313	21.0984	23.5204	27.3036	21.3766	23.4518	28.1987	25.326	27.7386	23.7851	24.2168
YDR331W	1236	33.7323	32.7663	35.3248	35.739	32.0798	32.3801	32.8935	31.7027	31.8247	31.7052	33.2525
YDR332W	2070	12.6896	12.2832	11.9633	13.8201	13.544	12.4379	14.401	13.2588	13.584	13.4057	14.0532
YDR333C	2172	28.5732	28.5393	27.3648	30.6442	29.4766	30.0423	31.1989	28.9536	30.8151	30.1878	30.2308
YDR334W	4545	19.6933	19.7208	22.1811	20.9204	21.4958	21.5876	22.7214	22.186	23.6001	20.5135	23.1872
YDR335W	3675	21.2028	21.2806	29.0301	25.2414	29.9077	26.5038	26.6487	26.1037	29.6629	23.9841	28.3098
YDR336W	945	16.015	16.3173	16.4985	16.6062	14.1266	14.109	17.7993	13.7564	15.5019	16.7592	17.3425
YDR337W	861	22.7307	24.8283	26.8205	27.719	25.2459	27.4233	29.6267	27.4914	28.9657	28.2021	28.5737
YDR338C	2088	10.0175	10.4095	10.9776	11.6462	11.6897	11.2482	11.9759	11.3748	12.0721	10.465	10.8658
YDR339C	570	61.5604	65.5651	59.789	57.0417	62.5201	58.9581	62.9166	62.0857	61.9317	65.0141	61.3862
YDR340W	303	0.528885	0.571711	0.841447	0.376417	0.865271	0.927042	0	1.26084	0.869504	0.410011	0
YDR341C	1824	179.071	224.371	224	191.428	223.555	194.948	175.8	213.35	197.886	167.343	221.354
YDR342C	1713	3.73726	3.01917	4.38037	4.68308	3.21975	4.79111	4.99287	4.85757	6.20954	3.31336	3.05902
YDR343C	1713	0.357823	0.440519	0.537663	0.466893	0.552886	0.418134	0.567372	0.426518	0.473886	0.354452	0.407869
YDR344C	444	7.31304	8.79252	7.47959	6.79814	6.47051	6.40924	5.84181	7.29383	6.87021	6.13214	6.78048
YDR345C	1704	192.019	179.892	200.134	216.939	173.109	165.641	172.7	199.021	183.246	147.651	192.488
YDR346C	1446	90.0562	91.1326	106.549	91.9544	86.7141	83.465	86.8204	86.7979	86.8985	81.2747	91.6809
YDR347W	966	47.3278	46.3556	46.3345	48.3017	43.9609	43.9688	48.5901	50.1967	49.5144	46.2246	50.2061
YDR348C	1500	35.2446	32.3774	35.2541	35.9623	32.922	31.5616	36.0064	35.12	34.3261	30.0822	36.7532
YDR349C	1791	38.9549	41.2319	43.3595	43.2665	42.5338	40.0291	39.1076	46.7372	44.6967	34.9691	46.0812
YDR350C	2055	16.5819	16.113	16.4724	18.4422	17.3079	17.569	18.6206	18.0942	19.2338	19.6883	18.0194
YDR351W	2595	19.9478	20.9663	20.0031	20.616	21.0261	19.5482	19.1194	20.2433	20.8537	20.2824	21.2348
YDR352W	954	23.6952	26.2386	25.2856	25.3846	23.9417	22.8289	24.17	25.7347	23.5159	23.5857	25.5908
YDR353W	960	322.384	308.599	328.772	354.278	311.26	323.293	347.274	343.413	346.06	284.289	336.382
YDR354C-A	144	0	5.32431	0	7.0111	0	4.31674	0	0	0	0	0
YDR354W	1143	122.89	156.189	132.692	122.101	146.701	118.8	108.07	148.306	114.692	98.0195	144.199
YDR355C	303	0	0	0	0.376417	0	0	0	0	0	0	0
YDR356W	2835	10.7476	11.2772	13.0169	10.3886	11.9309	12.615	12.2424	12.1805	14.5426	14.1425	14.044
YDR357C	369	75.6675	68.4243	59.0353	78.3645	77.173	67.3787	82.6676	77.1855	87.7178	93.0667	92.7667
YDR358W	1674	21.4443	19.4166	24.0934	28.7803	23.7732	25.7746	31.9096	23.565	28.4559	27.644	25.8902
YDR359C	2949	20.0595	20.2098	21.8049	21.8561	22.387	21.3968	23.2489	23.7756	23.9762	22.2274	24.6035
YDR360W	435	1.40821	1.94508	1.74256	1.67041	2.94383	0.822779	1.40353	1.30554	0.643093	1.21299	0.573272
YDR361C	852	47.9257	50.5543	43.4611	43.5559	44.1784	43.3985	41.876	43.6072	43.363	51.2595	48.5575
YDR362C	2019	11.0657	11.7395	14.0476	12.6385	12.5355	12.4505	12.9656	13.5919	13.9484	12.2113	13.7593
YDR363W	1371	10.7385	10.7809	12.8961	11.3534	11.3304	11.571	11.5066	10.9914	13.4114	12.4069	12.8296
YDR363W-A	270	511.632	481.698	627.874	535.497	547.176	633.886	687.18	589.604	628.859	751.124	620.34
YDR364C	1368	14.4604	15.5751	16.7582	14.9749	14.9775	15.4769	15.0156	15.299	15.6922	15.3637	16.8852
YDR365C	1887	57.5307	56.1969	63.2769	60.331	54.5168	56.0419	58.1863	55.392	56.4923	59.2966	60.8915
YDR365W-A	1323	0.0270977	0.0292919	0.0646679	0.0771437	0.0664989	0.094995	0.0883887	0.0484499	0.111374	0.105036	0.0992817
YDR365W-B	5268	1.74536	1.84908	1.38842	2.02633	2.20563	1.96162	1.74955	1.87309	1.78267	1.64077	1.74634
YDR366C	399	0.970098	1.36324	2.00643	2.2094	1.26969	0.680164	1.42394	1.38761	0.797436	2.25616	1.42171
YDR367W	666	43.131	37.8344	38.03	46.145	39.5064	39.7578	37.9035	40.1807	42.9124	39.28	39.583
YDR368W	939	67.1055	57.4478	70.8625	75.1075	60.3446	69.495	80.3117	65.7856	79.9169	77.3963	70.3748
YDR369C	2565	11.2215	10.5612	11.6255	11.4029	11.3791	10.7817	11.9687	11.9903	13.263	12.7323	13.0753
YDR370C	1329	18.1354	18.2057	18.3923	16.628	15.6506	16.9805	18.1069	18.0357	17.7651	17.9658	19.1734
YDR371C-A	105	6.30188	0	10.0262	13.4555	10.3101	11.0461	0	3.75586	5.18025	0	0
YDR371W	1536	6.69345	7.55321	10.3613	8.22408	9.23038	9.35424	9.79167	9.62268	10.5581	9.25606	10.7043
YDR372C	1038	87.3457	78.25	77.6399	92.5395	69.881	76.1305	88.0413	73.0736	81.5022	83.5553	76.4915
YDR373W	573	66.3798	71.949	82.0293	65.7832	83.617	82.1077	77.0569	82.3356	82.4755	86.9738	81.4194
YDR374C	921	0.129924	0.187259	0.0689021	0.123292	0.070853	0.151822	0.388476	0.258111	0.249199	0.335739	0.0952041
YDR374W-A	270	134.947	135.904	91.9029	134.047	141.36	132.733	165.462	123.823	154.821	259.657	120.938
YDR375C	1371	18.3644	18.0289	19.3132	20.51	17.9717	19.4592	18.254	19.7412	20.6608	16.6699	21.1166
YDR376W	1482	18.8355	20.3989	21.5176	22.5442	21.6248	20.6035	23.0587	22.1139	24.5633	20.5306	24.0757
YDR377W	306	451.765	469.291	452.724	454.514	489.025	481.562	543.355	533.392	586.223	525.141	534.386
YDR378C	261	579.753	566.894	640.896	624.264	703.356	686.898	664.506	618.927	650.897	738.95	594.586
YDR379C-A	240	388.801	347.82	355.947	316.077	408.522	431.812	485.145	439.472	508.33	524.873	442.087
YDR379W	3030	14.9544	14.6494	16.2333	16.4007	15.9396	15.179	17.3064	16.3783	16.3444	16.1444	16.3183
YDR380W	1908	102.922	127.753	115.309	116.925	123.309	107.652	122.353	142.964	125.931	119.404	138.084
YDR381C-A	345	29.1009	25.7229	27.7312	28.91	29.0123	34.0058	29.9106	34.3264	43.8559	42.5351	37.7616
YDR381W	681	323.703	301.123	310.825	348.047	297.472	296.332	311.982	298.44	312.938	264.682	296.487
YDR382W	333	5080.34	5181.37	4827.6	5043.59	4801.96	4533.5	4358.58	4591.91	4367.99	3519.38	4558.86
YDR383C	717	10.3228	10.184	11.7734	12.1269	11.4964	11.6086	13.2354	12.1193	13.4439	13.2574	12.8501
YDR384C	828	45.1372	63.9785	68.3738	46.7923	63.3609	51.3647	40.5786	65.6956	49.9947	32.9268	63.0932
YDR385W	2529	98.0564	97.0415	90.7057	103.62	80.7754	81.6197	82.1369	84.4127	78.5579	58.5316	82.3939
YDR386W	1899	10.089	11.2873	10.9863	11.2227	11.153	9.95513	11.6504	11.9313	11.802	12.6482	12.3301
YDR387C	1668	13.8234	13.3354	15.3851	16.2026	16.4918	14.5416	16.1393	16.3061	16.7917	15.375	16.4865
YDR388W	1449	107.075	95.2567	113.209	123.536	103.896	108.146	113.322	118.337	117.143	95.981	111.462
YDR389W	1965	45.4182	45.4384	42.3493	49.9842	43.6732	41.2171	44.9615	45.5763	45.044	42.7304	46.9762
YDR390C	1911	21.836	24.8344	24.363	23.6792	24.3366	22.1606	24.3892	24.5148	24.9163	24.5979	27.0228
YDR391C	699	37.3164	32.8577	35.7042	46.4894	39.7835	41.32	51.3146	42.7845	47.3677	53.3959	44.4049
YDR392W	1014	15.2933	16.1821	19.5498	16.76	17.7071	17.7043	17.0004	19.1363	19.1385	17.6659	19.2628
YDR393W	1371	14.8887	15.0148	14.0516	14.381	13.728	14.7763	15.5678	14.3615	14.9892	15.9862	14.5593
YDR394W	1287	114.645	91.6053	105.875	123.301	94.9512	99.0022	114.089	105.691	105.049	93.1592	100.28
YDR395W	2835	58.476	55.5103	54.0193	59.1436	50.5591	50.0556	54.3293	51.0023	54.3958	52.0768	56.3985
YDR396W	501	0	0.312098	0.183739	0.493169	0	0.506074	0.565056	0.0688297	0.379731	0.179061	0.423129
YDR397C	441	46.8375	46.288	39.9116	53.8325	40.0496	45.5657	47.4647	42.5496	42.613	58.6368	46.4278
YDR398W	1932	32.596	33.5998	31.8173	28.2328	28.5877	25.6274	26.0873	30.9594	26.6949	27.8971	32.2737
YDR399W	666	109.153	125.31	104.485	94.8729	92.9428	91.6876	78.7095	108.105	89.898	86.4593	109.748
YDR400W	1023	39.4055	38.8569	39.3031	41.1051	36.6634	35.2934	42.5588	39.7099	40.5518	39.1477	44.0842
YDR401W	564	0.646732	1.34826	1.39642	0.986338	1.05807	1.61944	1.80818	1.76204	1.06325	1.57573	1.69252
YDR402C	1470	0.572048	0.412246	0.24649	0.373209	0.311962	0.501349	0.466484	0.539814	0.293895	0.480428	0.45411
YDR403W	1611	0.427356	0.762234	0.526934	1.03413	0.699166	0.749079	0.836383	1.09521	1.42274	1.0933	1.09603
YDR404C	516	79.5698	72.2272	69.1932	81.5336	64.1084	70.3091	69.0638	74.9022	70.8732	68.868	71.0058
YDR405W	792	25.8871	21.3206	25.624	22.3534	21.7898	23.2045	23.3827	24.7878	25.4651	19.2792	23.2894
YDR406W	4590	12.9324	12.9251	17.674	18.3417	16.2659	18.1498	17.5164	17.4849	20.093	15.2386	17.0566
YDR406W-A	246	68.1023	56.4396	71.0292	85.0912	81.706	86.2127	90.09	75.765	88.3259	59.8348	53.2301
YDR407C	3870	23.9912	24.7089	26.4438	28.3153	26.1866	26.4289	27.986	27.5002	27.9466	25.3468	27.8689
YDR408C	645	118.837	159.244	138.381	131.758	159.853	123.859	116.564	178.838	135.685	99.3054	166.567
YDR409W	2715	13.1353	12.8402	12.0168	14.5059	13.8727	12.4842	13.4926	13.7016	13.504	12.5617	13.9491
YDR410C	720	23.7272	24.3126	22.4138	25.5505	23.1495	23.9899	24.9417	23.0163	27.123	25.3878	24.631
YDR411C	1026	35.9947	35.3869	36.2909	42.8657	38.0844	38.0787	39.9205	40.1593	41.5036	34.1183	39.9617
YDR412W	708	17.9436	19.1224	23.9077	16.5614	20.7465	19.5047	16.804	20.5571	18.8674	21.4803	21.3257
YDR413C	576	0.266999	0.240516	0.353993	0.380057	0.509621	0.312002	0.145152	0.159129	0.292637	0.413975	0.130432
YDR414C	1089	12.9924	14.5126	15.8751	15.091	16.0695	13.8462	14.748	14.3303	14.3538	13.1878	14.8264
YDR415C	1125	15.5481	15.4245	17.5219	18.0885	17.393	19.5955	19.2622	18.7311	19.9359	17.153	19.792
YDR416W	2580	13.8211	14.731	15.1858	15.186	14.3595	14.5093	15.9336	14.5993	15.4048	15.5928	15.2052
YDR417C	372	0	1.15096	0.752881	0	0.774198	0.414734	0.771784	0.705084	0.777986	0.550284	0.520139
YDR418W	498	1478.05	1487.82	1400.78	1456.74	1384.22	1328.47	1312.33	1308.68	1272.05	1149.28	1313.29
YDR419W	1899	9.5246	9.58084	10.0041	10.4319	9.92663	10.728	11.9093	10.5858	11.3816	10.6792	11.5547
YDR420W	5409	12.2334	12.1997	10.8801	12.6165	13.4443	12.0561	12.6527	12.7231	12.0496	11.753	12.6136
YDR421W	2853	14.4397	14.5035	14.1716	15.4791	15.5877	13.7913	15.4844	16.0262	15.866	15.0238	16.1335
YDR422C	2448	24.2723	25.1004	24.4039	27.6834	25.3114	24.8102	26.1498	27.2915	26.1206	24.9727	27.4936
YDR423C	1230	18.7493	20.5882	22.8915	25.9705	24.7045	24.3881	25.1355	25.8673	25.874	23.4126	24.8691
YDR424C	279	192.692	227.712	280.589	244.067	225.751	256.179	234.368	253.043	275.179	241.163	268.637
YDR425W	1878	13.9887	13.0647	12.2648	14.9531	12.8021	12.6826	15.1077	13.8526	13.2319	14.5979	14.1779
YDR426C	378	0	0.731616	0.538398	0.4817	0.184547	0.593166	0.551915	0.134458	1.1127	0.874482	0.495947
YDR427W	1182	103.435	86.3871	88.3365	107.007	73.8949	86.1413	105.74	81.0738	91.4359	93.9222	88.2971
YDR428C	786	30.1868	29.0283	28.9712	30.2403	25.5356	24.6987	28.9915	25.0002	27.0861	29.6621	29.4271
YDR429C	825	161.632	160.602	165.514	156.283	148.089	152.86	150.717	146.831	145.034	147.747	155.241
YDR430C	2970	22.108	21.447	26.3247	25.8971	23.9466	24.6906	26.2268	25.3834	28.451	24.2366	24.8761
YDR431W	312	0	0.495886	0.729847	0.326494	0.375256	0.402045	0	0.820215	0	0.355632	0.33615
YDR432W	1245	192.412	160.03	157.432	185.711	133.924	143.306	143.681	143.811	138.254	121.484	138.703
YDR433W	441	180.984	138.946	133.36	205.836	107.998	114.778	105.436	129.817	111.89	81.3159	120.512
YDR434W	1605	46.8523	45.9248	48.6412	50.1483	44.5057	45.3317	47.8323	48.2106	48.2166	45.4893	51.0024
YDR435C	987	21.0582	18.8203	22.4296	25.5686	22.0001	22.4993	24.4077	25.5241	25.6735	24.7934	25.6313
YDR436W	2133	9.06763	10.2694	11.9442	12.0716	11.9538	11.67	13.7683	13.0456	14.171	11.676	12.5079
YDR437W	423	11.039	10.2153	11.1764	10.2375	11.6297	13.7792	11.0478	10.9653	12.374	14.2631	12.1336
YDR438W	1113	7.00626	7.86487	7.71704	7.76741	8.98258	7.46881	8.10306	9.1142	8.38969	6.91995	9.8977
YDR439W	1044	5.4179	5.61918	6.5522	5.65376	7.27674	5.71081	5.76144	6.19623	7.01142	5.67589	7.53777
YDR440W	1749	12.9993	11.9546	13.937	13.5602	13.1412	12.9741	13.4009	13.9917	14.6728	13.0557	14.6294
YDR441C	546	44.2913	43.6408	38.9749	46.866	40.5594	39.7621	39.5539	42.4575	44.7853	45.4272	45.4518
YDR442W	393	0.202104	0	0.160772	0.143841	0	0	0.164808	0.120452	0.332265	0	0
YDR443C	4263	13.8119	14.08	13.8653	15.8367	15.5152	14.0112	15.6324	16.2475	15.758	14.8388	16.1829
YDR444W	2064	10.7593	10.4605	10.8676	10.6133	10.8212	10.7927	11.7027	12.0986	11.4277	11.0881	11.3972
YDR445C	408	0.183037	0.197858	0	0.390813	0.149727	0.481248	0.14926	0.327266	0.300919	0.567589	0.268248
YDR446W	909	0.352763	0.119165	0.0701549	0.313835	0.180353	0.0772913	0.0359581	0.131402	0.108741	0.307659	0.161558
YDR447C	411	1299.39	1384.99	1233.87	1210.44	1254.99	1202.57	1181.49	1150.66	1136.94	1206.77	1169.62
YDR448W	1305	19.2917	18.9472	19.6434	20.2227	18.7793	18.6948	18.8555	19.4804	20.6608	19.3996	20.7804
YDR449C	1323	27.0164	26.3627	22.8493	22.796	21.9225	20.3527	24.1522	22.8845	21.9406	27.4563	24.8006
YDR450W	441	2632.75	2641.29	2506.83	2461.3	2367.27	2304.59	2307.6	2328.58	2226.71	2015.39	2313.4
YDR451C	1062	29.9263	28.9056	27.9066	31.0569	27.5548	27.514	28.6657	29.8899	28.1898	28.8612	30.0344
YDR452W	2025	40.9178	44.0273	50.9298	48.1906	45.3746	48.6283	49.1752	50.7168	56.2515	45.5044	52.3056
YDR453C	591	184.574	184.158	176.206	237.655	193.655	215.982	323.163	268.544	283.999	336.71	301.678
YDR454C	564	244.28	232.001	216.959	231.724	227.183	218.786	220.071	226.808	226.472	219.027	218.944
YDR455C	309	2.40153	0.519198	1.9104	1.02553	0.392897	1.26284	0	1.14503	0.394819	0.372351	0.351953
YDR456W	1902	28.9269	30.4984	31.9746	34.7599	33.6576	33.0978	32.5764	35.2673	37.0352	28.2942	35.7364
YDR457W	9807	41.188	42.754	47.5957	47.934	47.8324	45.2909	46.7223	47.6799	49.7384	44.1154	50.4093
YDR458C	1992	18.8009	19.0508	22.1549	19.8931	20.5422	21.9063	21.6764	22.0222	23.3192	22.6005	22.9774
YDR459C	1125	18.4053	18.5668	18.3676	20.1929	18.018	18.1688	19.479	20.9685	18.9528	15.9168	18.38
YDR460W	966	15.4647	15.5542	19.9545	17.9109	17.0996	17.68	19.9259	20.0303	20.5532	16.8032	20.9688
YDR461C-A	243	181.652	179.998	201.543	190.526	230.712	233.217	224.795	253.563	234.46	297.706	235.86
YDR461W	111	487.426	625.688	431.364	307.883	1011.76	838.353	442.194	519.272	505.849	2059.4	665.23
YDR462W	444	38.2069	44.2046	40.1286	39.9391	44.439	49.0503	50.629	49.0999	50.5452	47.9001	46.6978
YDR463W	1560	44.4203	45.1255	42.3996	45.8342	46.106	40.6425	43.6089	47.5634	44.9447	42.0944	50.0853
YDR464C-A	189	3.32255	1.79579	2.64306	0	0	5.82384	0	0	0	2.57576	0
YDR464W	4308	16.957	18.7602	17.8752	18.2483	18.9327	17.0921	17.8738	18.2168	18.1884	18.126	20.1698
