GENE	Gene Length	LtD_0min_set2d_RNA_Rep1	LtD_0min_set2d_RNA_Rep2	LtD_0min_set2d_RNA_Rep3	LtD_30min_set2d_RNA_Rep1	LtD_30min_set2d_RNA_Rep2	LtD_30min_set2d_RNA_Rep3	LtD_60min_set2d_RNA_Rep1	LtD_60min_set2d_RNA_Rep2	LtD_60min_set2d_RNA_Rep3	LtD_90min_set2d_RNA_Rep1	LtD_90min_set2d_RNA_Rep2	LtD_90min_set2d_RNA_Rep3
YER054C	1647	4.12148	6.87551	7.16852	5.09243	7.73757	5.9034	6.00345	8.50007	8.33904	6.92397	8.35211	8.41336
YER055C	894	272.759	296.433	284.731	255.48	317.614	284.5	256.764	278.059	262.954	269.657	294.828	255.525
YER056C	1602	56.9653	87.1263	96.4051	59.3768	97.6572	80.3707	71.3666	85.2089	81.3613	73.6135	92.8561	97.1511
YER056C-A	366	1845.3	1811.29	1557.5	1875.85	1694.38	1757.56	1766.7	1562.99	1714.68	1739.99	1554.11	1434.19
YER057C	390	214.399	195.657	202.757	237.877	222.917	200.434	239.567	232.912	214.526	209.745	227.011	212.336
YER058W	324	5.84738	35.1748	38.2654	16.6548	38.8427	29.5128	21.5714	30.4881	26.5984	18.3117	33.3853	45.6484
YER059W	1263	19.9771	20.087	19.7409	17.9783	22.1543	18.2071	18.6026	20.6894	20.6638	19.8458	21.0888	19.8537
YER060W	1587	17.3217	18.3639	20.2249	16.7416	21.8247	21.6929	23.0722	21.105	21.3994	20.7895	21.867	21.9077
YER060W-A	1593	0.576736	1.3932	2.29284	0.886533	2.08271	1.89901	1.29839	1.83262	1.97785	1.06137	2.58825	2.66108
YER061C	1329	17.8711	17.4339	18.2228	14.7283	19.1531	16.2665	17.1196	17.0244	17.1488	14.2931	18.6265	16.9334
YER062C	753	213.623	204.377	202.078	249.588	245.219	244.774	274.105	302.693	296.013	274.642	294.378	323.353
YER063W	657	53.3221	83.1185	91.0789	71.3294	85.6425	80.5004	66.8036	77.0495	83.4635	66.0547	77.7254	79.074
YER064C	1518	53.9763	55.759	49.9546	57.6032	60.6223	50.839	62.6994	62.3652	56.202	61.685	62.963	61.045
YER065C	1674	7.57908	8.04465	7.83228	7.00267	9.4887	7.87023	8.54298	8.59677	9.41246	8.49097	8.79942	9.44417
YER066C-A	501	1.23037	0.8256	0.308281	0.82743	0.658938	0.443564	0.824377	0.77163	0.896279	1.11191	0.428031	0.292628
YER066W	558	5.43513	5.79042	5.6149	5.49478	5.60417	6.57164	5.64738	6.50266	7.25323	5.27594	5.32338	6.68214
YER067C-A	324	0.343963	0.276967	1.72367	0	1.26318	0.496013	0.553113	1.15049	0.23129	0.339106	0.717964	0.981687
YER067W	486	44.9163	37.221	49.4967	38.4598	37.6345	38.2027	42.9511	42.3908	50.5826	44.282	43.6917	47.4501
YER068C-A	432	0.70595	0	0	0	0.129627	0.203603	0.227042	0.236127	0.37976	0.139196	0.442065	0.402963
YER068W	1764	32.0116	30.9674	29.5022	33.0907	36.5143	30.1518	29.564	32.1018	30.7343	28.3817	32.2879	33.9263
YER069W	2592	83.1815	123.623	110.269	73.5343	126.283	105.664	84.1435	115.783	115.968	95.3033	126.865	122.447
YER070W	2667	115.191	128.445	141.344	110.12	136.67	125.331	119.628	128.088	128.689	125.152	132.309	130.802
YER071C	381	34.8419	40.1917	30.0154	34.5264	35.5826	35.2835	33.6795	36.1731	41.8556	38.0164	33.7074	32.4019
YER072W	390	157.592	216.904	251.977	166.049	210.131	224.746	182.696	195.37	218.223	158.799	210.373	232.209
YER073W	1563	161.004	182.512	185.23	154.355	210.3	186.425	160.534	192.034	187.32	179.338	210.946	204.867
YER074W	408	1867.47	1771.97	1855.36	1767.2	1747.65	1821.84	1845.39	1701.14	1700.14	1791.75	1623.55	1554.38
YER074W-A	258	211.063	352.106	361.237	269.531	328.925	351.969	288.926	357.508	347.896	301.986	352.445	324.359
YER075C	2787	24.4431	20.0592	18.9575	22.5108	23.4881	19.7014	23.148	21.8866	20.8105	21.6289	22.9391	22.2127
YER076C	909	9.86533	10.3395	9.2204	9.9743	10.9623	9.51244	9.50582	10.1154	8.47642	8.14361	11.1541	10.3351
YER076W-A	348	0.260976	2.31158	1.3078	0	1.67722	1.69354	1.25899	0.436459	1.4039	0.514582	0.817115	2.23451
YER077C	2067	8.3852	11.6271	11.6943	10.5026	12.0957	11.0262	11.1071	11.088	11.7356	10.8449	11.5399	11.7833
YER078C	1536	14.9566	19.8029	20.3624	16.2477	21.344	19.5561	18.3046	20.0444	20.8029	17.9518	19.6535	21.9164
YER078W-A	165	29.6473	17.9045	11.1426	29.907	20.4145	5.34412	17.878	21.6923	17.4437	25.5751	27.0741	15.8653
YER079C-A	339	0.287034	0.231126	0	0	0	0	0	0.240019	0	0	0	0
YER079W	633	18.5709	23.6225	22.5238	19.2378	25.7603	21.0554	21.0989	27.2321	28.64	18.773	29.6345	30.7259
YER080W	1884	55.1838	55.7984	54.753	53.6539	60.2402	51.8555	49.4517	54.5889	60.3256	54.6694	55.2513	58.475
YER081W	1410	59.2644	62.487	74.6534	65.5274	84.957	86.2807	57.8674	78.6624	92.4071	53.1618	71.3518	94.9248
YER082C	1665	33.1366	34.9103	33.8691	34.4155	38.8494	34.1545	36.0029	34.4988	32.6008	33.784	35.1167	32.6267
YER083C	858	56.8092	61.5271	67.7368	67.4498	72.6844	63.7203	60.1056	64.0009	54.3188	52.117	61.9021	59.1511
YER084W	387	0.374461	1.50762	1.50119	1.72681	1.03138	2.02497	0.301077	0.939375	1.63668	0.738345	2.73568	0.534363
YER084W-A	513	0	0	0	0	0	0.070567	0.157381	0	0	0	0	0
YER085C	522	0	0.381046	0.379423	0.109112	0.695143	0.409444	0.608771	0.158283	0.0636411	0.186615	0.296329	0.405177
YER086W	1731	69.0402	107.816	128.499	72.2176	134.567	111.087	79.1162	104.894	108.019	87.4707	115.633	134.472
YER087C-A	552	0.767459	0.686638	1.11103	1.47463	1.09605	1.1682	2.33111	1.35481	0.97478	1.26104	0.978962	2.19036
YER087C-B	249	1425.15	1219.41	1097.44	1595.98	1201.93	1157.16	1340.59	1268.46	1194.03	1210.23	1070.96	1060.52
YER087W	1731	5.30006	8.14236	8.91144	5.94946	8.83563	7.7938	6.72852	8.47022	9.1325	8.26752	9.44354	9.85219
YER088C	2013	61.9726	66.0008	62.5664	53.1582	76.4771	62.8488	49.4155	63.4941	60.6417	55.7112	68.1334	70.6696
YER088C-A	324	131.394	153.716	142.03	162.979	174.318	156.244	144.915	153.591	137.386	141.407	182.363	126.147
YER088W-B	147	0	0	4.28729	0	7.85477	3.08434	0	0	0	0	0	0
YER089C	1395	81.5265	80.933	74.1165	77.4579	87.4351	83.1184	79.4717	78.2214	73.8472	74.7961	82.545	71.4256
YER090C-A	90	0	0	0	0	0	0	0	0	0	5.96856	0	0
YER090W	1524	61.6662	99.6525	107.665	66.3268	107.725	96.7137	71.1051	98.3522	107.733	80.1747	99.4039	113.968
YER091C	2304	787.48	671.697	689.579	746.992	688.393	668.874	692.012	589.608	581.341	523.887	528.06	495.777
YER091C-A	222	0	3.16421	0	2.26516	0	1.41668	0	0	0	5.81119	2.0506	0
YER092W	378	63.4928	69.0278	60.0216	66.9641	70.2458	60.7992	58.2969	60.2948	63.8394	63.5835	61.4573	55.7353
YER093C	4293	12.8294	12.6096	11.9681	11.7633	13.4623	12.0697	11.4146	13.0414	13.8425	12.2451	13.2629	13.3389
YER093C-A	414	26.6207	23.327	21.3443	25.4548	25.0157	19.1942	23.6701	23.9626	18.2164	25.3185	23.8608	22.5696
YER094C	618	173.162	204.556	203.235	163.791	210.024	202.301	181.395	199.193	210.183	192.531	227.493	228.82
YER095W	1203	11.4293	21.3721	24.9998	14.0819	24.592	23.004	14.5028	22.4662	24.0031	19.0646	26.9377	30.7259
YER096W	1539	1.58231	1.51603	1.44534	0.785097	1.12173	1.41528	1.06287	1.22264	1.1448	1.1058	1.1079	1.40053
YER097W	330	32.514	21.3041	24.2803	25.7245	29.2659	30.5684	26.6548	33.5856	30.4372	32.3691	32.2703	23.654
YER098W	2265	7.54884	7.40976	7.77125	7.01838	8.43675	6.84752	7.52244	8.77729	9.34199	7.74548	9.17591	10.3517
YER099C	957	14.1232	27.5345	32.3695	13.5895	28.9486	26.2605	15.1993	25.5422	29.2757	19.2846	28.4514	32.132
YER100W	753	31.477	51.6413	55.2337	33.8655	58.363	52.7102	35.6955	50.1559	58.1892	40.0794	56.8746	69.8648
YER101C	1293	6.50894	9.64529	10.0457	9.2444	10.5657	9.40407	9.19323	10.3061	11.0335	9.19855	12.269	13.138
YER102W	603	278.522	277.46	256.908	297.959	208.939	265.657	258.446	236.624	237.396	263.796	185.638	194.875
YER103W	1929	24.8842	32.9538	51.4058	21.9505	27.9437	33.2784	23.3464	29.1676	35.3065	22.9256	30.4972	43.96
YER104W	627	10.2531	11.008	11.7147	9.37755	12.865	10.9413	9.23302	10.2312	11.6746	11.0517	13.269	11.2174
YER105C	4176	40.1614	44.0261	43.1132	36.8949	45.4924	40.5897	40.2367	42.4135	46.2069	40.8397	43.1304	44.2603
YER106W	909	0.508926	0.441321	0.27465	0.451326	0.467247	0.169361	0.629524	0.360094	0.263243	0.463144	0.939722	0.837979
YER107C	1098	40.2935	39.0617	38.7061	35.8573	39.9833	39.3001	36.459	38.2997	38.1656	37.7443	39.3849	36.8276
YER107W-A	321	0	0.28829	0.358827	0	0	0	0.575726	0	0.240746	0.35297	0	0
YER109C	2400	14.4744	15.998	14.0373	13.8482	17.3254	13.2772	14.7381	15.0366	14.1512	14.2345	14.8933	14.433
YER110C	3342	167.215	158.793	167.271	154.003	180.348	162.716	170.023	148.131	154.715	166.303	150.976	149.523
YER111C	3282	22.5836	20.5033	18.3481	20.9681	21.2268	17.174	19.1373	20.7294	18.7889	19.4763	19.5688	17.4569
YER112W	564	66.9322	69.6806	73.9874	78.9605	80.2774	64.4055	67.4011	75.9284	66.3522	70.192	70.1115	69.5283
YER113C	2121	24.4438	25.1618	26.1308	23.2158	24.5581	24.8695	25.0357	24.9873	25.4671	22.4657	25.5687	25.861
YER114C	3123	28.1572	28.0659	27.3372	27.9219	28.9135	26.4925	26.9184	27.0183	26.3693	25.8274	28.045	28.9811
YER115C	576	27.7341	26.3404	27.7962	23.9575	27.2038	22.5038	25.9202	27.4861	23.9092	23.6033	25.729	27.6251
YER116C	825	16.3729	19.866	18.3877	16.29	21.6626	18.565	17.8168	21.043	20.692	15.611	22.7993	24.3247
YER117W	414	1788.76	1909.78	1961.79	1835.09	1901.19	1945.05	1885.3	1696.63	1744.56	1879.59	1834.34	1733.83
YER118C	1104	35.4476	38.9092	36.375	35.8495	36.4843	33.9257	33.6762	33.4319	32.1877	30.21	33.8415	31.9549
YER119C	1347	8.61259	17.6029	25.6126	11.0414	24.7588	19.2235	10.7088	19.5985	18.5608	12.8061	23.1347	30.7595
YER119C-A	372	0.210063	0.845736	0	0.242175	0.771439	1.36315	0.337793	1.22959	0.988765	0.828387	1.75388	0.899294
YER120W	735	259.707	267.898	247.234	265.513	291.494	257.979	259.123	260.068	236.48	230.776	252.514	241.786
YER121W	345	9.41936	6.06773	5.93399	5.89503	9.63628	7.76183	2.5966	7.65145	9.04834	6.6331	6.17926	11.1374
YER122C	1482	67.0148	85.0935	81.3412	71.2677	91.0777	79.4897	73.3587	84.2497	88.082	75.8403	81.3571	84.5672
YER123W	1575	21.0249	27.9598	27.868	21.6105	28.5878	26.357	22.5603	28.2535	27.3058	25.4921	25.9491	26.4437
YER124C	1722	123.593	117.373	101.279	115.409	108.544	101.622	118.243	107.955	112.123	114.913	105.887	97.5719
YER125W	2430	87.6068	90.7374	97.7645	80.9903	102.936	93.6439	85.0022	97.4878	102.181	89.9435	99.6541	109.21
YER126C	786	51.5312	76.3629	78.5066	67.008	83.5341	74.8657	79.1512	73.1453	75.6433	78.7905	71.5075	74.0855
YER127W	1074	20.8895	32.6577	30.5725	27.1518	32.2903	30.7785	30.3683	28.9646	28.8514	28.2826	29.3193	28.7371
YER128W	612	14.4492	17.9967	16.8357	16.658	17.6443	14.8832	13.6206	15.118	13.9279	13.754	14.783	17.5722
YER129W	3429	23.1159	25.6008	23.4119	24.3077	27.0935	23.6738	24.9161	24.2826	25.7605	23.7747	26.2028	26.5866
YER130C	1332	20.6845	25.0507	26.8999	22.9388	33.9289	28.8305	25.6658	31.3411	38.133	29.589	33.9627	41.6374
YER131W	360	2007.19	1776.3	1948.69	2130.73	2110.16	1744.3	2018.28	1678.42	1497.76	1719.53	1597.54	1324.03
YER132C	5262	19.1065	19.2903	17.5943	18.7531	21.5971	18.4885	20.4884	19.1964	19.2213	18.9332	21.1725	20.1088
YER133W	939	140.76	163.577	154.886	140.217	156.735	151.36	151.201	166.551	184.819	160.258	171.371	186.653
YER133W-A	342	0.555588	0	0.278415	0.640518	0.510087	0.400593	0.446708	0.232292	0.747185	0.547742	0	1.18925
YER134C	537	32.4767	36.6979	32.7292	35.3727	33.9353	38.165	33.3254	34.9591	36.7992	30.7798	36.7973	32.5182
YER135C	393	0.538287	0.7224	0.539492	1.24115	0.988406	1.03498	0.577064	1.65043	0.965224	0.884476	1.68537	1.79234
YER136W	1356	146.811	142.272	131.794	147.323	152.981	151.41	143.037	158.48	171.308	153.735	155.438	163.172
YER137C	447	7.04667	12.7142	10.8552	10.8318	11.5015	9.69121	8.39366	9.82074	9.12575	11.3213	9.8058	8.56601
YER137C-A	1323	0	0.0193716	0	0	0	0	0.0386858	0	0	0.0474356	0	0.0343306
YER137W-A	306	0	0	0	0	0.410516	0.967186	1.43803	0.74779	0	0	0	0
YER138C	5268	0	0	0	0	0	0	0	0	0	0	0	0
YER138W-A	105	0	0	0	0	0	0	0	0	0	0	0	0
YER139C	681	18.0027	18.6861	16.7242	18.4793	21.1409	16.646	20.5819	18.8549	21.1545	21.5222	17.9773	17.4113
YER140W	1671	11.3744	12.5387	11.4363	11.0813	12.1778	11.3193	12.4178	10.9699	11.8393	11.6437	11.4539	10.579
YER141W	1461	20.828	35.1902	43.1593	21.6279	37.579	35.0921	23.6882	36.2055	41.3278	28.2892	39.6925	46.0584
YER142C	891	14.3677	14.8747	15.3679	14.6154	16.4426	13.6095	12.361	15.2451	17.9153	13.9268	13.819	17.7464
YER143W	1287	24.867	29.965	30.5857	25.6551	34.5085	29.6137	27.8592	32.9704	33.6601	28.9086	33.3048	36.6224
YER144C	2418	9.52984	14.6662	18.5173	9.51717	19.1065	15.5462	10.7272	16.4159	17.2298	11.7088	18.3876	27.4706
YER145C	1215	161.152	211.174	245.901	143.757	223.392	219.294	141.248	184.341	204.208	153.444	203.668	226.456
YER145C-A	438	0.136708	0.44032	0.274027	0.472817	0.251024	0.394279	0.439668	0.800208	0.643482	0.269555	0.142677	0.78034
YER146W	282	179.353	221.038	250.421	200.456	221.229	241.361	167.322	241.564	197.934	197.742	246.483	217.843
YER147C	1875	5.73643	10.6713	10.3519	7.54763	10.7813	10.8845	8.84122	9.83282	10.1509	8.81996	10.7963	11.3606
YER147C-A	411	0.318985	0.38528	0	0.183873	0.585722	0.229996	0.256473	0.266736	0.107247	0.15724	0.166456	0.455198
YER148W	723	48.3504	77.3828	90.3614	49.3945	85.3282	73.8113	58.992	74.8448	81.7752	62.4462	70.8852	84.1656
YER148W-A	579	0	0	0.156943	0.270795	0.287536	0.169361	0	0.0654716	0.263243	0.308763	0.408575	0.111731
YER149C	1263	17.6838	14.4241	14.3013	15.8338	16.1186	15.5799	15.6934	13.9776	15.4893	14.0176	15.3179	14.6903
YER150W	447	99.6973	118.631	124.377	117.345	148.201	128.808	99.0452	158.55	151.277	107.424	165.473	192.363
YER151C	2739	35.5399	40.382	43.1385	33.8668	48.1675	38.9278	36.6929	41.6581	41.3069	36.2452	44.2068	45.8149
YER152C	1332	49.1228	55.0385	56.0713	48.9857	66.7626	60.9637	56.3956	60.6274	59.1808	58.8017	71.7847	68.6013
YER152W-A	567	0.162502	0.523399	0.407164	0.187343	0.745967	0.468672	0.130656	0.815307	0.327812	0.24031	0.508791	0.463787
YER153C	765	16.6243	19.1117	20.4756	17.376	21.4691	18.2326	16.9898	19.5539	17.4077	16.2908	22.8897	21.8654
YER154W	1209	48.0421	59.0345	58.1032	52.6866	70.1274	58.2372	53.9699	60.8333	55.4159	57.5263	64.4374	64.87
YER155C	6504	58.5078	61.0716	64.1201	48.1886	64.7029	55.4811	52.7279	58.0053	62.0326	54.0164	58.8164	67.9123
YER156C	1017	61.9367	63.6886	62.9182	59.6913	71.9374	65.8346	65.082	63.2415	62.6641	59.6026	67.1691	60.6836
YER157W	2406	19.8964	21.1427	18.8484	18.7397	20.6424	19.2343	18.8962	19.8027	21.5142	19.9107	20.8277	22.4953
YER158C	1722	8.92833	10.1836	11.0579	8.35182	14.349	11.4333	9.11079	14.6971	15.1212	10.6699	16.6409	20.1001
YER158W-A	216	6.40673	5.15884	10.7018	2.46203	15.6854	9.23884	3.43413	17.8578	7.1801	2.10542	11.1441	6.09503
YER159C	429	27.5603	72.9335	83.1536	37.2344	93.042	69.1369	49.6275	69.8582	97.9702	62.4086	84.7929	130.687
YER159C-A	1323	0	0	0	0	0	0	0	0	0	0	0	0
YER160C	5268	0	0	0	0	0	0	0	0	0	0	0	0
YER161C	1002	12.0439	24.2865	25.6549	18.8298	28.5732	23.8005	17.6568	22.3229	26.9494	20.3648	26.2139	29.3304
YER162C	2265	2.88368	5.99592	7.48866	3.04376	7.78958	6.02508	4.12189	7.01969	7.94586	4.81408	6.52747	11.5588
YER163C	699	43.3501	53.3998	56.51	46.4685	55.4562	57.1725	48.1964	57.2309	58.1065	45.2852	60.6434	66.9415
YER164W	4407	22.9234	28.2305	29.8067	23.2325	31.9656	28.6704	26.2202	28.9894	30.9373	27.3782	30.027	31.5949
YER165C-A	357	0	0	0	0	0	0.344991	0.769412	0.20005	0	0	0	0
YER165W	1734	537.426	469.593	468.58	485.566	528.875	481.8	526.562	474.262	476.645	516.577	497.1	461.844
YER166W	4716	35.6419	39.0393	39.7043	34.8488	41.0869	36.5337	35.3261	38.2246	40.8467	36.9064	38.3029	41.4686
YER167W	2556	31.0009	28.6871	26.5579	28.8966	31.1354	27.5206	30.5626	30.1186	29.996	29.4368	31.4311	31.3572
YER168C	1641	28.325	28.4277	26.4165	27.8402	28.6127	28.6271	27.0126	28.7609	30.7041	27.9982	29.4068	28.1036
YER169W	2391	18.2022	18.61	17.5297	19.7471	22.6697	19.2298	20.8713	22.6143	21.5513	18.6825	22.5472	25.1832
YER170W	678	6.14325	9.65086	13.1591	6.04082	11.7226	7.94693	6.87634	9.82074	10.7322	7.60031	10.4344	12.892
YER171W	2337	17.5469	20.7553	19.9426	17.5758	21.0065	19.281	20.4161	20.4984	22.8575	20.288	22.0067	21.7024
YER172C	6492	14.9903	19.2788	21.4034	13.7224	21.2063	18.3343	15.5067	18.2175	20.1876	15.8925	18.4265	22.3305
YER172C-A	381	0	0.157615	0	0	0	0	0	0	0	0	0	0.279326
YER173W	1980	9.59774	10.8533	9.49954	9.89475	10.0725	9.39557	9.62507	10.2099	10.4987	10.9485	10.3284	9.4148
YER174C	735	32.1643	38.8705	41.028	35.2424	43.1482	44.5426	42.831	45.2562	45.6873	42.5073	44.6658	45.5198
YER175C	900	64.138	91.2741	75.2603	70.9684	94.3404	81.1293	64.5886	95.7484	92.7415	71.6059	99.7036	91.2432
YER175W-A	165	40.7651	101.459	55.7132	64.0864	34.0242	69.4736	77.4712	86.7692	79.7427	51.1502	50.2805	84.6148
YER176W	3366	12.1273	18.5624	20.5869	12.5763	23.288	16.7709	13.6896	18.029	19.4643	14.4812	19.2663	24.5097
YER177W	804	1005.81	952.65	988.512	978.962	1060.94	952.263	956.965	1056.73	972.288	962.325	1102.69	1065.67
YER178W	1263	425.916	455.394	465.916	403.483	486.179	491.244	428.434	488.961	480.236	443.188	545.861	526.885
YER179W	1005	0.888601	1.12832	1.16462	0.472817	1.22374	1.33069	0.71446	1.17173	1.70063	0.640192	1.53378	1.70699
YER180C	804	8.28671	14.3574	16.2372	11.8077	14.4468	13.6282	9.73211	14.248	17.6871	13.6773	15.2564	18.7345
YER180C-A	258	92.0016	76.6963	90.0379	58.648	74.5297	79.6027	88.7663	76.027	103.35	82.1657	66.6483	92.6741
YER181C	324	8.25512	6.09326	7.2394	2.37926	5.0527	5.70415	3.31868	6.61533	8.55774	5.7648	6.46168	9.81687
YER182W	735	22.01	22.2606	23.0183	23.9035	26.8944	21.2747	22.7406	21.0722	23.7731	23.324	27.0769	24.0497
YER183C	636	26.2384	29.9443	31.048	27.0166	29.2384	30.4718	31.5641	29.6449	29.4954	28.1716	29.5441	28.5822
YER184C	2385	8.05616	10.9285	10.7898	7.87918	11.0724	10.8935	8.44199	10.7118	13.1444	10.6733	12.5614	14.1891
YER185W	912	3.19562	5.05222	4.53075	3.05513	6.47607	5.28263	3.76005	5.73543	6.76093	5.26363	5.85686	8.78677
YER186C	921	21.493	24.0869	21.8494	21.4984	24.3219	22.7327	25.7206	21.7342	23.8634	24.2599	22.9532	21.1789
YER187W	426	0.729881	1.41052	1.46303	2.18778	1.07217	1.05253	1.64317	1.70892	0.785267	1.87089	1.2188	2.49973
YER188C-A	300	3.95031	2.38566	1.97958	0.569273	4.5335	1.0681	5.55829	0.412908	0.332037	1.94726	2.0614	1.4093
YER188W	720	2.24915	2.69451	2.25418	2.59297	2.51823	2.41276	2.46998	1.789	2.951	2.65005	2.23285	3.05302
YER189W	369	0	0.346752	0	0	0.197681	1.08673	0.346238	0.180047	0.723917	0	0.224716	0
YER190C-A	576	0	0	0	0	0	0	0	0	0	0	0	0
YER190C-B	483	0	0	0	0	0	0	0	0	0	0	0	0
YER190W	5046	0.0861798	0.0954164	0.124161	0.031048	0.0692317	0.0737887	0.0259841	0.0675598	0.0507059	0.106203	0.0618356	0.0538039
YFL001W	1329	20.5028	20.574	18.5345	19.9411	22.2501	20.1649	20.5435	20.9255	20.7523	21.5105	20.1246	21.3716
YFL002C	1821	18.688	21.5595	23.0458	20.0668	24.6272	21.4384	19.9814	20.6023	22.6901	19.7042	22.5231	21.9303
YFL002W-A	5313	0	0	0	0	0	0	0	0	0	0	0	0
YFL002W-B	1317	0	0	0	0	0	0	0	0	0	0	0	0
YFL003C	2637	1.08198	1.51595	1.25791	1.16007	1.13245	1.02978	1.04393	1.42047	1.40418	1.54672	1.40024	1.40505
YFL004W	2487	34.7505	46.7976	52.3119	35.7104	48.1113	45.5504	37.6871	44.7076	52.1376	41.7378	45.2445	48.6507
YFL005W	648	154.314	149.234	146.158	166.332	159.394	162.018	156.614	167.376	171.694	157.306	167.473	169.2
YFL007W	6432	40.8607	42.1823	44.5247	35.1688	45.6288	40.9956	37.5503	41.3068	46.5499	40.0695	41.0922	47.2949
YFL008W	3678	14.7688	19.1973	20.1184	14.7244	19.7993	16.7771	16.1154	18.43	21.1083	17.7322	18.2761	20.4409
YFL009W	2340	18.3496	23.8697	27.0969	17.3226	26.7735	23.3517	18.5985	23.6928	26.2646	20.6122	24.7736	27.9487
YFL010C	636	155.427	198.536	214.994	169.873	270.134	197.561	168.127	208.519	183.527	178.639	235.586	229.42
YFL010W-A	285	3.88084	3.12494	3.88953	5.21977	5.34452	6.5291	5.20051	9.73552	9.56848	10.2028	8.77564	9.23008
YFL011W	1641	0.0742465	0.149462	0.130222	0.0427981	0.221539	0.294435	0.208937	0.170734	0.224664	0.164696	0.309953	0.344342
YFL012W	447	0.652469	0.630458	0.261572	1.50442	0.838648	0.940894	0.629524	0.109119	0.263243	0.643255	0.408575	0.186218
YFL012W-A	375	0	0	0.205521	0	0	0	0	0.342946	0.137889	0.202166	0	0.292628
YFL013C	2079	10.8575	14.8137	18.9477	12.1754	20.4551	15.6978	12.2148	15.6788	16.9278	13.8361	17.2111	20.4504
YFL013W-A	804	0	0.149947	0.139976	0	0.128226	0.100701	0	0	0.0939137	0.183589	0.0485873	0
YFL014W	330	1406.07	1762.34	1431.26	1929.71	1581.53	1580.82	2506.57	2271.82	1993.63	2788.77	2783.23	2573.28
YFL015C	495	0	0.169147	0.105267	0	0.19286	0.227191	0.50669	0.175656	0.423757	0	0	0.299765
YFL015W-A	318	0	0.300503	0	0	0	0	0	0	0	0.367923	0.389488	1.06511
YFL016C	1536	17.7472	32.1534	41.5899	22.034	38.8543	32.4391	23.244	34.1627	36.314	27.3928	39.9146	44.3771
YFL017C	480	48.2081	56.7412	60.0868	51.4511	53.9131	55.6472	46.0452	55.7444	55.5066	49.0712	52.8813	51.2364
YFL017W-A	234	111.524	349.962	361.621	238.237	347.828	299.179	234.721	334.628	288.94	258.704	325.218	376.805
YFL018C	1500	119.874	127.142	134.28	124.388	137.704	133.327	131.288	135.368	138.103	132.923	141.598	142.71
YFL019C	354	0.492141	0.594423	0.739863	1.9858	2.03326	2.48392	3.95695	1.64612	1.32372	2.18336	2.05452	1.75574
YFL020C	369	3.0144	5.0279	3.66854	7.94333	7.70956	8.07286	5.88605	9.90257	7.67352	7.85414	11.2358	11.0613
YFL021C-A	855	0.298456	0.514978	0.341856	0	0.313158	0.184452	0.137124	0.49914	0.31537	0.378311	0.177993	0.425904
YFL021W	1533	20.626	19.5737	18.4133	19.6727	23.4816	19.3261	18.671	19.7715	17.144	17.6565	19.3844	19.1247
YFL022C	1512	196.269	181.612	178.788	176.815	197.268	185.574	179.682	172.742	168.073	168.851	179.901	165.934
YFL023W	2391	5.06623	11.3544	13.25	6.63335	12.0381	9.61926	7.17693	10.3691	11.8666	8.07475	10.2224	13.3576
YFL024C	2499	24.8961	23.9952	23.26	23.2475	29.552	25.1791	26.2033	27.7224	31.6362	28.4504	31.2086	32.2991
YFL025C	3090	17.016	15.7302	14.8027	14.1126	15.1549	14.1051	14.4784	14.4342	15.3437	14.1397	14.6267	14.5226
YFL026W	1296	257.736	231.658	219.259	247.802	249.701	225.389	255.324	243.275	237.462	243.902	247.587	234.327
YFL027C	1494	9.92005	13.3186	13.2078	10.9101	14.557	13.8413	12.1475	14.5773	15.0714	12.2761	14.2519	15.4
YFL028C	870	30.9138	40.4377	38.7391	29.9314	40.835	38.5194	31.5127	39.1406	40.0638	38.3529	39.993	44.9459
YFL029C	1107	10.5098	14.2581	16.0565	12.3594	17.584	14.2437	11.7188	15.5369	15.3288	12.7661	17.0344	17.9628
YFL030W	1158	9.06738	8.44564	8.57489	9.47039	10.9344	10.1859	10.4671	12.1933	12.2708	12.2461	13.7351	14.359
YFL031C-A	102	5.68726	0	0	0	5.22149	0	9.14543	0	0	0	0	8.11584
YFL031W	717	1077.29	1087.2	982.926	1141.41	1222.13	1203.92	1244.06	1337.84	1307.92	1333.68	1536.6	1415.68
YFL032W	321	18.2593	25.3695	9.3295	28.8929	6.9028	14.9725	16.1203	5.68826	9.14836	15.5307	4.11024	9.19639
YFL033C	5313	13.6842	12.0049	12.2114	11.6174	14.4373	12.5228	10.9615	12.535	12.8624	10.7948	13.4137	13.9504
YFL034C-A	369	286.153	251.222	227.234	254.186	220.019	229.766	268.334	241.083	254.384	243.691	222.469	197.26
YFL034C-B	864	32.4758	30.0744	28.7589	36.3746	34.8305	31.0192	32.6309	31.5126	29.324	31.313	31.3068	32.2547
YFL034W	3222	12.6191	15.1157	16.3492	12.0533	17.522	14.7321	13.2067	15.0941	16.4156	13.8546	16.2449	17.772
YFL036W	4056	23.4827	23.2316	23.5421	22.5186	24.3324	22.8626	23.5737	23.2798	25.5933	25.4662	25.181	25.8785
YFL037W	1374	207.965	218.685	228.157	190.666	232.262	224.103	200.763	212.619	202.867	198.666	223.542	218.867
YFL038C	621	338.808	357.714	350.217	324.54	393.131	364.381	329.15	361.197	353.272	356.963	399.125	400.23
